type,choose,feature_nums,treenums,precision,recall,f1,MCC,TP,FP,TN,FN,AUC
test,mrmr,41,74,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7610405323653963,"
"
test,mrmr,41,75,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7605868118572293,"
"
test,mrmr,41,76,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7583182093163945,"
"
test,mrmr,41,77,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7619479733817301,"
"
test,mrmr,41,78,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7614942528735632,"
"
test,mrmr,41,79,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7613430127041743,"
"
test,mrmr,41,80,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7617967332123412,"
"
test,mrmr,41,81,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7610405323653963,"
"
test,mrmr,41,82,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7624016938898972,"
"
test,mrmr,41,83,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7630066545674531,"
"
test,mrmr,41,84,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7607380520266183,"
"
test,mrmr,41,85,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7616454930429523,"
"
test,mrmr,41,86,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7607380520266183,"
"
test,mrmr,41,87,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7599818511796733,"
"
test,mrmr,41,88,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7593768905021173,"
"
test,mrmr,41,89,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7578644888082274,"
"
test,mrmr,41,90,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7592256503327284,"
"
test,mrmr,41,91,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7574107683000605,"
"
test,mrmr,41,92,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7577132486388385,"
"
test,mrmr,41,93,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7555958862673926,"
"
test,mrmr,41,94,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7542347247428917,"
"
